次序,小韻,反切,聲母,韻目,調,等,呼,韻母,IPA
942,冥,莫經,明,青,平,四,開,青開,meiŋ
943,瓶,薄經,並,青,平,四,開,青開,beiŋ
944,熒,戸扃,匣,青,平,四,合,青合,ɦueiŋ
945,扃,古螢,見,青,平,四,合,青合,kueiŋ
946,蒸,煑仍,章,蒸,平,三,開,蒸,tɕiŋ
947,承,署陵,常,蒸,平,三,開,蒸,dʑiŋ
948,澂,直陵,澄,蒸,平,三,開,蒸,ɖiŋ
949,陵,力膺,來,蒸,平,三,開,蒸,liŋ
950,膺,於陵,影,蒸,平,三,開,蒸,ʔiŋ
951,凭,扶冰,並,蒸,平,三,開,蒸,biŋ
952,冫,筆陵,幫,蒸,平,三,開,蒸,piŋ
953,蠅,余陵,以,蒸,平,三,開,蒸,jiŋ
954,繩,食陵,船,蒸,平,三,開,蒸,ʑiŋ
955,升,識蒸,書,蒸,平,三,開,蒸,ɕiŋ
956,仍,如乗,日,蒸,平,三,開,蒸,ȵiŋ
957,兢,居陵,見,蒸,平,三,開,蒸,kiŋ
958,徵,陟陵,知,蒸,平,三,開,蒸,ʈiŋ
959,繒,疾陵,從,蒸,平,三,開,蒸,dziŋ
960,凝,魚陵,疑,蒸,平,三,開,蒸,ŋiŋ
961,興,虚陵,曉,蒸,平,三,開,蒸,hiŋ
962,稱,處陵,昌,蒸,平,三,開,蒸,tɕʰiŋ
963,殑,其矜,羣,蒸,平,三,開,蒸,ɡiŋ
964,㱡,山矜,生,蒸,平,三,開,蒸,ʃiŋ
965,硱,綺兢,溪,蒸,平,三,開,蒸,kʰiŋ
966,僜,丑升,徹,蒸,平,三,開,蒸,ʈʰiŋ
967,磳,仕兢,崇,蒸,平,三,開,蒸,dʒiŋ
968,砯,披冰,滂,蒸,平,三,開,蒸,pʰiŋ
969,登,都滕,端,登,平,一,開,登開,təŋ
970,楞,魯登,來,登,平,一,開,登開,ləŋ
971,僧,蘇增,心,登,平,一,開,登開,səŋ
972,崩,北滕,幫,登,平,一,開,登開,pəŋ
973,增,作滕,精,登,平,一,開,登開,tsəŋ
974,瞢,武登,明,登,平,一,開,登開,məŋ
975,層,昨棱,從,登,平,一,開,登開,dzəŋ
976,朋,步崩,並,登,平,一,開,登開,bəŋ
977,弘,胡肱,匣,登,平,一,合,登合,ɦuəŋ
978,肱,古弘,見,登,平,一,合,登合,kuəŋ
979,薨,呼肱,曉,登,平,一,合,登合,huəŋ
980,能,奴登,泥,登,平,一,開,登開,nəŋ
981,騰,徒登,定,登,平,一,開,登開,dəŋ
982,恒,胡登,匣,登,平,一,開,登開,ɦəŋ
983,搄,古恒,見,登,平,一,開,登開,kəŋ
984,鼟,他登,透,登,平,一,開,登開,tʰəŋ
985,漰,普朋,滂,登,平,一,開,登開,pʰəŋ
986,尤,羽求,云,尤,平,三,開,尤,ɦiu
987,憂,於求,影,尤,平,三,開,尤,ʔiu
988,劉,力求,來,尤,平,三,開,尤,liu
989,秋,七由,清,尤,平,三,開,尤,tsʰiu
990,猷,以周,以,尤,平,三,開,尤,jiu
991,牛,語求,疑,尤,平,三,開,尤,ŋiu
992,遒,即由,精,尤,平,三,開,尤,tsiu
993,酋,自秋,從,尤,平,三,開,尤,dziu
994,脩,息流,心,尤,平,三,開,尤,siu
995,抽,丑鳩,徹,尤,平,三,開,尤,ʈʰiu
996,恘,去秋,溪,尤,平,三,開,尤,kʰiu
997,犫,赤周,昌,尤,平,三,開,尤,tɕʰiu
998,周,職流,章,尤,平,三,開,尤,tɕiu
999,讎,市流,常,尤,平,三,開,尤,dʑiu
1000,柔,耳由,日,尤,平,三,開,尤,ȵiu
1001,收,式州,書,尤,平,三,開,尤,ɕiu
1002,丘,去鳩,溪,尤,平,三,開,尤,kʰiu
1003,䬌,匹尤,滂,尤,平,三,開,尤,pʰiu
1004,鳩,居求,見,尤,平,三,開,尤,kiu
1005,不,甫鳩,幫,尤,平,三,開,尤,piu
1006,𢯱,所鳩,生,尤,平,三,開,尤,ʃiu
1007,搊,楚鳩,初,尤,平,三,開,尤,tʃʰiu
1008,鄒,側鳩,莊,尤,平,三,開,尤,tʃiu
1009,愁,士尤,崇,尤,平,三,開,尤,dʒiu
1010,休,許尤,曉,尤,平,三,開,尤,hiu
1011,囚,似由,邪,尤,平,三,開,尤,ziu
1012,儔,直由,澄,尤,平,三,開,尤,ɖiu
1013,輈,張流,知,尤,平,三,開,尤,ʈiu
1014,𧚍,巨鳩,羣,尤,平,三,開,尤,ɡiu
1015,浮,縛謀,並,尤,平,三,開,尤,biu
1016,謀,莫浮,明,尤,平,三,開,尤,miu
1017,侯,戸鉤,匣,侯,平,一,開,侯,ɦəu
1018,謳,烏侯,影,侯,平,一,開,侯,ʔəu
1019,羺,奴鉤,泥,侯,平,一,開,侯,nəu
1020,樓,落侯,來,侯,平,一,開,侯,ləu
1021,涑,速侯,心,侯,平,一,開,侯,səu
1022,彄,恪侯,溪,侯,平,一,開,侯,kʰəu
1023,齁,呼侯,曉,侯,平,一,開,侯,həu
1024,𣠏,子侯,精,侯,平,一,開,侯,tsəu
1025,偷,託侯,透,侯,平,一,開,侯,tʰəu
1026,頭,度侯,定,侯,平,一,開,侯,dəu
1027,齵,五婁,疑,侯,平,一,開,侯,ŋəu
1028,鉤,古侯,見,侯,平,一,開,侯,kəu
1029,兜,當侯,端,侯,平,一,開,侯,təu
1030,㔌,徂鉤,從,侯,平,一,開,侯,dzəu
1031,裒,薄侯,並,侯,平,一,開,侯,bəu
1032,䜅,千侯,清,侯,平,一,開,侯,tsʰəu
1033,呣,亡侯,明,侯,平,一,開,侯,məu
1034,幽,於虯,影,幽,平,三,開,幽,ʔiəu
1035,虯,渠幽,羣,幽,平,三,開,幽,ɡiəu
1036,彪,甫烋,幫,幽,平,三,開,幽,piəu
1037,鏐,力幽,來,幽,平,三,開,幽,liəu
1038,樛,居虯,見,幽,平,三,開,幽,kiəu
1039,淲,皮彪,並,幽,平,三,開,幽,biəu
1040,稵,子幽,精,幽,平,三,開,幽,tsiəu
1041,犙,山幽,生,幽,平,三,開,幽,ʃiəu
1042,聱,語虯,疑,幽,平,三,開,幽,ŋiəu
1043,飍,香幽,曉,幽,平,三,開,幽,hiəu
1044,繆,武彪,明,幽,平,三,開,幽,miəu
1045,侵,七林,清,侵,平,三,開,侵,tsʰim
1046,尋,徐林,邪,侵,平,三,開,侵,zim
1047,林,力尋,來,侵,平,三,開,侵,lim
1048,琛,丑林,徹,侵,平,三,開,侵,ʈʰim
1049,斟,職深,章,侵,平,三,開,侵,tɕim
1050,沈,直深,澄,侵,平,三,開,侵,ɖim
1051,碪,知林,知,侵,平,三,開,侵,ʈim
1052,諶,氏任,常,侵,平,三,開,侵,dʑim
1053,任,如林,日,侵,平,三,開,侵,ȵim
1054,深,式針,書,侵,平,三,開,侵,ɕim
1055,淫,餘針,以,侵,平,三,開,侵,jim
1056,心,息林,心,侵,平,三,開,侵,sim
1057,愔,挹淫,影,侵A,平,三,開,侵A,ʔim
1058,祲,子心,精,侵,平,三,開,侵,tsim
1059,𩷒,昨淫,從,侵,平,三,開,侵,dzim
1060,䛘,女心,孃,侵,平,三,開,侵,ɳim
1061,琴,巨金,羣,侵B,平,三,開,侵B,ɡim
1062,欽,去金,溪,侵B,平,三,開,侵B,kʰim
1063,吟,魚金,疑,侵B,平,三,開,侵B,ŋim
1064,歆,許金,曉,侵B,平,三,開,侵B,him
1065,金,居吟,見,侵B,平,三,開,侵B,kim
1066,音,於金,影,侵B,平,三,開,侵B,ʔim
1067,森,所今,生,侵,平,三,開,侵,ʃim
1068,岑,鋤針,崇,侵,平,三,開,侵,dʒim
1069,兂,側吟,莊,侵,平,三,開,侵,tʃim
1070,嵾,楚簪,初,侵,平,三,開,侵,tʃʰim
1071,𧡪,充針,昌,侵,平,三,開,侵,tɕʰim
1072,覃,徒含,定,覃,平,一,開,覃,dəm
1073,參,倉含,清,覃,平,一,開,覃,tsʰəm
1074,南,那含,泥,覃,平,一,開,覃,nəm
1075,諳,烏含,影,覃,平,一,開,覃,ʔəm
1076,含,胡男,匣,覃,平,一,開,覃,ɦəm
1077,婪,盧含,來,覃,平,一,開,覃,ləm
1078,蠶,昨含,從,覃,平,一,開,覃,dzəm
1079,簪,作含,精,覃,平,一,開,覃,tsəm
1080,探,他含,透,覃,平,一,開,覃,tʰəm
1081,耽,丁含,端,覃,平,一,開,覃,təm
1082,龕,口含,溪,覃,平,一,開,覃,kʰəm
1083,㟏,火含,曉,覃,平,一,開,覃,həm
1084,毿,蘇含,心,覃,平,一,開,覃,səm
1085,弇,古南,見,覃,平,一,開,覃,kəm
1086,䜙,五含,疑,覃,平,一,開,覃,ŋəm
1087,談,徒甘,定,談,平,一,開,談,dɑm
1088,甘,古三,見,談,平,一,開,談,kɑm
1089,擔,都甘,端,談,平,一,開,談,tɑm
1090,三,蘇甘,心,談,平,一,開,談,sɑm
1091,藍,魯甘,來,談,平,一,開,談,lɑm
1092,坩,苦甘,溪,談,平,一,開,談,kʰɑm
1093,舑,他酣,透,談,平,一,開,談,tʰɑm
1094,慙,昨甘,從,談,平,一,開,談,dzɑm
1095,酣,胡甘,匣,談,平,一,開,談,ɦɑm
1096,姏,武酣,明,談,平,一,開,談,mɑm
1097,𩈻,昨三,從,談,平,一,開,談,dzɑm
1098,蚶,呼談,曉,談,平,一,開,談,hɑm
1099,鹽,余廉,以,鹽,平,三,開,鹽,jiem
1100,廉,力鹽,來,鹽,平,三,開,鹽,liem
1101,砭,府廉,幫,鹽B,平,三,開,鹽B,piem
1102,銛,息廉,心,鹽,平,三,開,鹽,siem
1103,籤,七廉,清,鹽,平,三,開,鹽,tsʰiem
1104,詹,職廉,章,鹽,平,三,開,鹽,tɕiem
1105,棎,視占,常,鹽,平,三,開,鹽,dʑiem
1106,苫,失廉,書,鹽,平,三,開,鹽,ɕiem
1107,䪜,處占,昌,鹽,平,三,開,鹽,tɕʰiem
1108,𩓾,汝鹽,日,鹽,平,三,開,鹽,ȵiem
1109,黏,女廉,孃,鹽,平,三,開,鹽,ɳiem
1110,炎,于廉,云,鹽,平,三,開,鹽,ɦiem
1111,霑,張廉,知,鹽,平,三,開,鹽,ʈiem
1112,覘,丑廉,徹,鹽,平,三,開,鹽,ʈʰiem
1113,淹,央炎,影,鹽B,平,三,開,鹽B,ʔiem
1114,𢜩,丘廉,溪,鹽B,平,三,開,鹽B,kʰiem
1115,𪙊,語廉,疑,鹽B,平,三,開,鹽B,ŋiem
1116,尖,子廉,精,鹽,平,三,開,鹽,tsiem
1117,潛,昨鹽,從,鹽,平,三,開,鹽,dziem
1118,箝,巨淹,羣,鹽B,平,三,開,鹽B,ɡiem
1119,懕,一鹽,影,鹽A,平,三,開,鹽A,ʔiem
1120,燅,徐鹽,邪,鹽,平,三,開,鹽,ziem
1121,襳,史炎,生,鹽,平,三,開,鹽,ʃiem
1122,㶣,直廉,澄,鹽,平,三,開,鹽,ɖiem
1123,鍼,巨鹽,羣,鹽A,平,三,開,鹽A,ɡiem
1124,添,他兼,透,添,平,四,開,添,tʰeim
1125,𩬑,丁兼,端,添,平,四,開,添,teim
1126,甜,徒兼,定,添,平,四,開,添,deim
1127,鬑,勒兼,來,添,平,四,開,添,leim
1128,謙,苦兼,溪,添,平,四,開,添,kʰeim
1129,兼,古甜,見,添,平,四,開,添,keim
1130,嫌,戸兼,匣,添,平,四,開,添,ɦeim
1131,鮎,奴兼,泥,添,平,四,開,添,neim
1132,馦,許兼,曉,添,平,四,開,添,heim
1133,咸,胡讒,匣,咸,平,二,開,咸,ɦem
1134,緘,古咸,見,咸,平,二,開,咸,kem
1135,攕,所咸,生,咸,平,二,開,咸,ʃem
1136,𤟟,乙咸,影,咸,平,二,開,咸,ʔem
1137,嵒,五咸,疑,咸,平,二,開,咸,ŋem
1138,㰹,許咸,曉,咸,平,二,開,咸,hem
1139,詀,竹咸,知,咸,平,二,開,咸,ʈem
1140,諵,女咸,孃,咸,平,二,開,咸,ɳem
1141,讒,士咸,崇,咸,平,二,開,咸,dʒem
1142,鵮,苦咸,溪,咸,平,二,開,咸,kʰem
1143,銜,戸監,匣,銜,平,二,開,銜,ɦam
1144,巉,鋤銜,崇,銜,平,二,開,銜,dʒam
1145,巖,五銜,疑,銜,平,二,開,銜,ŋam
1146,攙,楚銜,初,銜,平,二,開,銜,tʃʰam
1147,衫,所銜,生,銜,平,二,開,銜,ʃam
1148,監,古銜,見,銜,平,二,開,銜,kam
1149,𨂝,白銜,並,銜,平,二,開,銜,bam
1150,嵌,口銜,溪,銜,平,二,開,銜,kʰam
1151,嚴,語𩏩,疑,嚴,平,三,開,嚴,ŋiɑm
1152,𩏩,虚嚴,曉,嚴,平,三,開,嚴,hiɑm
1153,醃,於嚴,影,嚴,平,三,開,嚴,ʔiɑm
1154,㪁,丘嚴,溪,嚴,平,三,開,嚴,kʰiɑm
1155,凡,符咸,並,凡,平,三,合,凡,byɑm
1156,䒦,匹凡,滂,凡,平,三,合,凡,pʰyɑm
1157,董,多動,端,董,上,一,開,東一,tuŋʔ
1158,蠓,莫孔,明,董,上,一,開,東一,muŋʔ
1159,孔,康董,溪,董,上,一,開,東一,kʰuŋʔ
1160,㪌,先孔,心,董,上,一,開,東一,suŋʔ
1161,侗,他孔,透,董,上,一,開,東一,tʰuŋʔ
1162,緫,作孔,精,董,上,一,開,東一,tsuŋʔ
1163,澒,胡孔,匣,董,上,一,開,東一,ɦuŋʔ
1164,蓊,烏孔,影,董,上,一,開,東一,ʔuŋʔ
1165,𨑊,奴動,泥,董,上,一,開,東一,nuŋʔ
1166,琫,邊孔,幫,董,上,一,開,東一,puŋʔ
1167,曨,力董,來,董,上,一,開,東一,luŋʔ
1168,嗊,呼孔,曉,董,上,一,開,東一,huŋʔ
1169,動,徒揔,定,董,上,一,開,東一,duŋʔ
1170,菶,蒲蠓,並,董,上,一,開,東一,buŋʔ
1171,腫,之隴,章,腫,上,三,開,鍾,tɕioŋʔ
1172,寵,丑隴,徹,腫,上,三,開,鍾,ʈʰioŋʔ
1173,隴,力踵,來,腫,上,三,開,鍾,lioŋʔ
1174,擁,於隴,影,腫,上,三,開,鍾,ʔioŋʔ
1175,宂,而隴,日,腫,上,三,開,鍾,ȵioŋʔ
1176,重,直隴,澄,腫,上,三,開,鍾,ɖioŋʔ
1177,冢,知隴,知,腫,上,三,開,鍾,ʈioŋʔ
1178,奉,扶隴,並,腫,上,三,開,鍾,bioŋʔ
1179,捧,敷奉,滂,腫,上,三,開,鍾,pʰioŋʔ
1180,勇,余隴,以,腫,上,三,開,鍾,jioŋʔ
1181,恐,丘隴,溪,腫,上,三,開,鍾,kʰioŋʔ
1182,尰,時宂,常,腫,上,三,開,鍾,dʑioŋʔ
1183,拱,居悚,見,腫,上,三,開,鍾,kioŋʔ
1184,悚,息拱,心,腫,上,三,開,鍾,sioŋʔ
1185,洶,許拱,曉,腫,上,三,開,鍾,hioŋʔ
1186,覂,方勇,幫,腫,上,三,開,鍾,pioŋʔ
1187,湩,都𪁪,端,湩,上,一,開,冬,tuoŋʔ
1188,𪁪,莫湩,明,湩,上,一,開,冬,muoŋʔ
1189,䅃,渠隴,羣,腫,上,三,開,鍾,ɡioŋʔ
1190,𨿿,充隴,昌,腫,上,三,開,鍾,tɕʰioŋʔ
1191,𢃭,職勇,章,腫,上,三,開,鍾,tɕioŋʔ
1192,䙕,子冢,精,腫,上,三,開,鍾,tsioŋʔ
1193,講,古項,見,講,上,二,開,江,koŋʔ
1194,㭋,步項,並,講,上,二,開,江,boŋʔ
1195,慃,烏項,影,講,上,二,開,江,ʔoŋʔ
1196,𠈵,武項,明,講,上,二,開,江,moŋʔ
1197,項,胡講,匣,講,上,二,開,江,ɦoŋʔ
1198,𦂌,巴講,幫,講,上,二,開,江,poŋʔ
1199,傋,虚慃,曉,講,上,二,開,江,hoŋʔ
1200,紙,諸氏,章,紙,上,三,開,支開,tɕieʔ
1201,是,承紙,常,紙,上,三,開,支開,dʑieʔ
1202,靡,文彼,明,紙B,上,三,開,支B開,mieʔ
1203,彼,甫委,幫,紙B,上,三,開,支B開,pieʔ
1204,被,皮彼,並,紙B,上,三,開,支B開,bieʔ
1205,毀,許委,曉,紙B,上,三,合,支B合,hyeʔ
1206,委,於詭,影,紙B,上,三,合,支B合,ʔyeʔ
1207,跪,去委,溪,紙B,上,三,合,支B合,kʰyeʔ
1208,詭,過委,見,紙B,上,三,合,支B合,kyeʔ
1209,髓,息委,心,紙,上,三,合,支合,syeʔ
1210,絫,力委,來,紙,上,三,合,支合,lyeʔ
1211,技,渠綺,羣,紙B,上,三,開,支B開,ɡieʔ
1212,倚,於綺,影,紙B,上,三,開,支B開,ʔieʔ
1213,掎,居綺,見,紙B,上,三,開,支B開,kieʔ
1214,綺,墟彼,溪,紙B,上,三,開,支B開,kʰieʔ
1215,螘,魚倚,疑,紙B,上,三,開,支B開,ŋieʔ
1216,蔿,韋委,云,紙,上,三,合,支合,ɦyeʔ
1217,觜,即委,精,紙,上,三,合,支合,tsyeʔ
1218,蘂,如累,日,紙,上,三,合,支合,ȵyeʔ
1219,此,雌氏,清,紙,上,三,開,支開,tsʰieʔ
1220,豸,池爾,澄,紙,上,三,開,支開,ɖieʔ
1221,徙,斯氏,心,紙,上,三,開,支開,sieʔ
1222,酏,移爾,以,紙,上,三,開,支開,jieʔ
1223,邐,力紙,來,紙,上,三,開,支開,lieʔ
1224,躧,所綺,生,紙,上,三,開,支開,ʃieʔ
1225,𢔌,并弭,幫,紙A,上,三,開,支A開,pieʔ
1226,爾,兒氏,日,紙,上,三,開,支開,ȵieʔ
1227,渳,綿婢,明,紙A,上,三,開,支A開,mieʔ
1228,婢,便俾,並,紙A,上,三,開,支A開,bieʔ
1229,侈,尺氏,昌,紙,上,三,開,支開,tɕʰieʔ
1230,弛,施是,書,紙,上,三,開,支開,ɕieʔ
1231,紫,將此,精,紙,上,三,開,支開,tsieʔ
1232,捶,之累,章,紙,上,三,合,支合,tɕyeʔ
1233,揣,初委,初,紙,上,三,合,支合,tʃʰyeʔ
1234,𤢍,隨婢,邪,紙,上,三,合,支合,zyeʔ
1235,舓,神帋,船,紙,上,三,開,支開,ʑieʔ
1236,㧗,側氏,莊,紙,上,三,開,支開,tʃieʔ
1237,㱟,匹靡,滂,紙B,上,三,開,支B開,pʰieʔ
1238,諀,匹婢,滂,紙A,上,三,開,支A開,pʰieʔ
1239,䓈,羊捶,以,紙,上,三,合,支合,jyeʔ
1240,惢,才捶,從,紙,上,三,合,支合,dzyeʔ
1241,跬,丘弭,溪,紙A,上,三,合,支A合,kʰyeʔ
1242,狔,女氏,孃,紙,上,三,開,支開,ɳieʔ
1243,硊,魚毀,疑,紙B,上,三,合,支B合,ŋyeʔ
1244,跪,渠委,羣,紙B,上,三,合,支B合,ɡyeʔ
1245,褫,敕豸,徹,紙,上,三,開,支開,ʈʰieʔ
1246,㨖,陟侈,知,紙,上,三,開,支開,ʈieʔ
1247,𪖪,興倚,曉,紙B,上,三,開,支B開,hieʔ
1248,企,丘弭,溪,紙A,上,三,開,支A開,kʰieʔ
1249,菙,時髓,常,紙,上,三,合,支合,dʑyeʔ
1250,枳,居帋,見,紙A,上,三,開,支A開,kieʔ
1251,旨,職雉,章,旨,上,三,開,脂開,tɕiəʔ
1252,視,承矢,常,旨,上,三,開,脂開,dʑiəʔ
1253,美,無鄙,明,旨B,上,三,開,脂B開,miəʔ
1254,鄙,方美,幫,旨B,上,三,開,脂B開,piəʔ
1255,兕,徐姊,邪,旨,上,三,開,脂開,ziəʔ
1256,几,居履,見,旨B,上,三,開,脂B開,kiəʔ
1257,𡛷,將几,精,旨,上,三,開,脂開,tsiəʔ
1258,匕,卑履,幫,旨A,上,三,開,脂A開,piəʔ
1259,軌,居洧,見,旨B,上,三,合,脂B合,kyəʔ
1260,洧,榮美,云,旨,上,三,合,脂合,ɦyəʔ
1261,矢,式視,書,旨,上,三,開,脂開,ɕiəʔ
1262,雉,直几,澄,旨,上,三,開,脂開,ɖiəʔ
1263,死,息姊,心,旨,上,三,開,脂開,siəʔ
1264,牝,扶履,並,旨A,上,三,開,脂A開,biəʔ
1265,履,力几,來,旨,上,三,開,脂開,liəʔ
1266,水,式軌,書,旨,上,三,合,脂合,ɕyəʔ
1267,壘,力軌,來,旨,上,三,合,脂合,lyəʔ
1268,揆,求癸,羣,旨A,上,三,合,脂A合,ɡyəʔ
1269,趡,千水,清,旨,上,三,合,脂合,tsʰyəʔ
1270,柅,女履,孃,旨,上,三,開,脂開,ɳiəʔ
1271,癸,居誄,見,旨A,上,三,合,脂A合,kyəʔ
1272,否,符鄙,並,旨B,上,三,開,脂B開,biəʔ
1273,㠑,徂累,從,旨,上,三,合,脂合,dzyəʔ
1274,嚭,匹鄙,滂,旨B,上,三,開,脂B開,pʰiəʔ
1275,蕊,如壘,日,旨,上,三,合,脂合,ȵyəʔ
1276,唯,以水,以,旨,上,三,合,脂合,jyəʔ
1277,㰻,於几,影,旨B,上,三,開,脂B開,ʔiəʔ
1278,濢,遵誄,精,旨,上,三,合,脂合,tsyəʔ
1279,黹,豬几,知,旨,上,三,開,脂開,ʈiəʔ
1280,𡳭,楮几,徹,旨,上,三,開,脂開,ʈʰiəʔ
1281,𧿲,止姊,章,旨,上,三,開,脂開,tɕiəʔ
1282,䁤,火癸,曉,旨A,上,三,合,脂A合,hyəʔ
1283,䣀,曁軌,羣,旨B,上,三,合,脂B合,ɡyəʔ
1284,跽,曁几,羣,旨B,上,三,開,脂B開,ɡiəʔ
1285,巋,丘軌,溪,旨B,上,三,合,脂B合,kʰyəʔ
1286,止,諸市,章,止,上,三,開,之,tɕiʔ
1287,市,時止,常,止,上,三,開,之,dʑiʔ
1288,徵,陟里,知,止,上,三,開,之,ʈiʔ
1289,喜,虚里,曉,止,上,三,開,之,hiʔ
1290,紀,居理,見,止,上,三,開,之,kiʔ
1291,以,羊己,以,止,上,三,開,之,jiʔ
1292,似,詳里,邪,止,上,三,開,之,ziʔ
1293,史,踈士,生,止,上,三,開,之,ʃiʔ
1294,耳,而止,日,止,上,三,開,之,ȵiʔ
1295,里,良士,來,止,上,三,開,之,liʔ
1296,枲,胥里,心,止,上,三,開,之,siʔ
1297,始,詩止,書,止,上,三,開,之,ɕiʔ
1298,歭,直里,澄,止,上,三,開,之,ɖiʔ
1299,起,墟里,溪,止,上,三,開,之,kʰiʔ
1300,士,鉏里,崇,止,上,三,開,之,dʒiʔ
1301,俟,牀史,俟,止,上,三,開,之,ʒiʔ
1302,子,即里,精,止,上,三,開,之,tsiʔ
1303,矣,于紀,云,止,上,三,開,之,ɦiʔ
1304,擬,魚紀,疑,止,上,三,開,之,ŋiʔ
1305,齒,昌里,昌,止,上,三,開,之,tɕʰiʔ
1306,恥,敕里,徹,止,上,三,開,之,ʈʰiʔ
1307,㓼,初紀,初,止,上,三,開,之,tʃʰiʔ
1308,滓,阻史,莊,止,上,三,開,之,tʃiʔ
1309,譩,於擬,影,止,上,三,開,之,ʔiʔ
1310,伱,乃里,孃,止,上,三,開,之,ɳiʔ
1311,尾,無匪,明,尾,上,三,合,微合,myɨʔ
1312,扆,於豈,影,尾,上,三,開,微開,ʔiɨʔ
1313,豈,袪狶,溪,尾,上,三,開,微開,kʰiɨʔ
1314,蟣,居狶,見,尾,上,三,開,微開,kiɨʔ
1315,斐,敷尾,滂,尾,上,三,合,微合,pʰyɨʔ
1316,匪,府尾,幫,尾,上,三,合,微合,pyɨʔ
1317,韙,于鬼,云,尾,上,三,合,微合,ɦyɨʔ
1318,鬼,居偉,見,尾,上,三,合,微合,kyɨʔ
1319,虺,許偉,曉,尾,上,三,合,微合,hyɨʔ
1320,顗,魚豈,疑,尾,上,三,開,微開,ŋiɨʔ
1321,豨,虚豈,曉,尾,上,三,開,微開,hiɨʔ
1322,磈,於鬼,影,尾,上,三,合,微合,ʔyɨʔ
1323,膹,浮鬼,並,尾,上,三,合,微合,byɨʔ
1324,語,魚巨,疑,語,上,三,開,魚,ŋioʔ
1325,吕,力舉,來,語,上,三,開,魚,lioʔ
1326,佇,直吕,澄,語,上,三,開,魚,ɖioʔ
1327,與,余吕,以,語,上,三,開,魚,jioʔ
1328,䰞,章与,章,語,上,三,開,魚,tɕioʔ
1329,汝,人渚,日,語,上,三,開,魚,ȵioʔ
1330,暑,舒吕,書,語,上,三,開,魚,ɕioʔ
1331,杵,昌與,昌,語,上,三,開,魚,tɕʰioʔ
1332,貯,丁吕,知,語,上,三,開,魚,ʈioʔ
1333,諝,私吕,心,語,上,三,開,魚,sioʔ
1334,楮,丑吕,徹,語,上,三,開,魚,ʈʰioʔ
1335,女,尼吕,孃,語,上,三,開,魚,ɳioʔ
1336,許,虚吕,曉,語,上,三,開,魚,hioʔ
1337,巨,其吕,羣,語,上,三,開,魚,ɡioʔ
1338,所,踈舉,生,語,上,三,開,魚,ʃioʔ
1339,楚,創舉,初,語,上,三,開,魚,tʃʰioʔ
1340,阻,側吕,莊,語,上,三,開,魚,tʃioʔ
1341,齟,牀吕,崇,語,上,三,開,魚,dʒioʔ
1342,咀,慈吕,從,語,上,三,開,魚,dzioʔ
1343,𢮁,於許,影,語,上,三,開,魚,ʔioʔ
1344,舉,居許,見,語,上,三,開,魚,kioʔ
1345,敘,徐吕,邪,語,上,三,開,魚,zioʔ
1346,去,羌舉,溪,語,上,三,開,魚,kʰioʔ
1347,紓,神與,船,語,上,三,開,魚,ʑioʔ
1348,野,承與,常,語,上,三,開,魚,dʑioʔ
1349,𤿚,七與,清,語,上,三,開,魚,tsʰioʔ
1350,苴,子與,精,語,上,三,開,魚,tsioʔ
1351,麌,虞矩,疑,麌,上,三,合,虞,ŋyoʔ
1352,羽,王矩,云,麌,上,三,合,虞,ɦyoʔ
1353,聚,慈庾,從,麌,上,三,合,虞,dzyoʔ
1354,甫,方矩,幫,麌,上,三,合,虞,pyoʔ
1355,武,文甫,明,麌,上,三,合,虞,myoʔ
1356,父,扶雨,並,麌,上,三,合,虞,byoʔ
1357,撫,芳武,滂,麌,上,三,合,虞,pʰyoʔ
1358,柱,直主,澄,麌,上,三,合,虞,ɖyoʔ
1359,詡,況羽,曉,麌,上,三,合,虞,hyoʔ
1360,豎,臣庾,常,麌,上,三,合,虞,dʑyoʔ
1361,庾,以主,以,麌,上,三,合,虞,jyoʔ
1362,主,之庾,章,麌,上,三,合,虞,tɕyoʔ
1363,傴,於武,影,麌,上,三,合,虞,ʔyoʔ
1364,齲,驅雨,溪,麌,上,三,合,虞,kʰyoʔ
1365,拄,知庾,知,麌,上,三,合,虞,ʈyoʔ
1366,乳,而主,日,麌,上,三,合,虞,ȵyoʔ
1367,窶,其矩,羣,麌,上,三,合,虞,ɡyoʔ
1368,數,所矩,生,麌,上,三,合,虞,ʃyoʔ
1369,矩,俱雨,見,麌,上,三,合,虞,kyoʔ
1370,取,七庾,清,麌,上,三,合,虞,tsʰyoʔ
1371,縷,力主,來,麌,上,三,合,虞,lyoʔ
1372,𦄼,相庾,心,麌,上,三,合,虞,syoʔ
1373,䝒,鶵禹,崇,麌,上,三,合,虞,dʒyoʔ
1374,姥,莫補,明,姥,上,一,開,模,muʔ
1375,土,他魯,透,姥,上,一,開,模,tʰuʔ
1376,杜,徒古,定,姥,上,一,開,模,duʔ
1377,魯,郎古,來,姥,上,一,開,模,luʔ
1378,蔖,采古,清,姥,上,一,開,模,tsʰuʔ
1379,覩,當古,端,姥,上,一,開,模,tuʔ
1380,古,公戸,見,姥,上,一,開,模,kuʔ
1381,五,疑古,疑,姥,上,一,開,模,ŋuʔ
1382,簿,裴古,並,姥,上,一,開,模,buʔ
1383,粗,徂古,從,姥,上,一,開,模,dzuʔ
1384,祖,則古,精,姥,上,一,開,模,tsuʔ
