小韻次序,小韻,字次序,字,釋,IPA
1,東,1,東,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯郷東門襄仲後因氏焉齊有大夫東郭偃又有東宫得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏丗本宋大夫東郷爲[-/人]賈執英賢傳云今高密有東郷姓宋有貟外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,tuŋ
1,東,2,菄,東風菜義見上注俗加艹,tuŋ
1,東,3,鶇,鶇鵍鳥名美形出廣雅亦作𪂝,tuŋ
1,東,4,䍶,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟,tuŋ
1,東,5,𠍀,儱倲儜劣皃出字諟,tuŋ
1,東,6,倲,上同（𠍀‧儱倲儜劣皃出字諟）,tuŋ
1,東,7,𩜍,地理志云東郡館名,tuŋ
1,東,8,𢘐,古文（𩜍‧地理志云東郡館名）見道經,tuŋ
1,東,9,涷,瀧涷沾漬說文曰水出發鳩山入於河又都貢切,tuŋ
1,東,10,蝀,螮蝀虹也又音董,tuŋ
1,東,11,凍,凍凌又都貢切,tuŋ
1,東,12,鯟,魚名似鯉,tuŋ
1,東,13,𢔅,行皃,tuŋ
1,東,14,崠,崠如山名,tuŋ
1,東,15,埬,上埬地名,tuŋ
1,東,16,𧓕,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵,tuŋ
1,東,17,䰤,醜皃,tuŋ
2,同,1,同,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,duŋ
2,同,2,仝,古文（同‧齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五）出道書,duŋ
2,同,3,童,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉,duŋ
2,同,4,僮,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通,duŋ
2,同,5,銅,金之一品,duŋ
2,同,6,桐,木名月令曰淸明之日桐始華又桐廬縣在睦州亦姓有桐君藥録兩卷,duŋ
2,同,7,峒,崆峒山名,duŋ
2,同,8,硐,磨也,duŋ
2,同,9,𦨴,𦨴舩,duŋ
2,同,10,𧱁,獸似豕出泰山,duŋ
2,同,11,筒,竹筒又竹名射筒吳都賦曰其竹則桂箭射筒,duŋ
2,同,12,瞳,目瞳,duŋ
2,同,13,㼧,㼧瓦,duŋ
2,同,14,𤭁,上同（㼧‧㼧瓦）,duŋ
2,同,15,罿,車上網又音衝,duŋ
2,同,16,犝,犝牛無角,duŋ
2,同,17,筩,竹筩,duŋ
2,同,18,潼,水名出廣漢郡亦關名又通衝二音,duŋ
2,同,19,曈,曈曨日欲明也又他孔切,duŋ
2,同,20,洞,洪洞縣名在晉州北又徒弄切,duŋ
2,同,21,侗,楊子法言云倥侗顓蒙,duŋ
2,同,22,橦,木名花可爲布出字書又鍾幢二音,duŋ
2,同,23,烔,熱氣烔烔出字林,duŋ
2,同,24,䴀,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欽期交州記,duŋ
2,同,25,挏,引也漢官名有挏馬又音動,duŋ
2,同,26,酮,馬酪又音動,duŋ
2,同,27,鮦,爾雅云鰹大鮦又直冡直栁二切,duŋ
2,同,28,㼿,井甓一云甃也,duŋ
2,同,29,𦏆,無角羊,duŋ
2,同,30,𦍻,上同（𦏆‧無角羊）,duŋ
2,同,31,眮,目眶又徒揔切,duŋ
2,同,32,蕫,草名又多動切,duŋ
2,同,33,穜,穜稑先種後熟謂之穜後種先熟謂之稑又音重,duŋ
2,同,34,衕,通街也,duŋ
2,同,35,𩍅,靫具飾也,duŋ
2,同,36,𢈉,地下應聲,duŋ
2,同,37,䆚,通䆚也,duŋ
2,同,38,哃,哃𠹔大言,duŋ
2,同,39,𢏕,弓飾,duŋ
2,同,40,絧,布名,duŋ
2,同,41,𨚯,郷名,duŋ
2,同,42,𨝯,地名又姓,duŋ
2,同,43,𪔝,鼓聲,duŋ
2,同,44,𩦶,黑虎,duŋ
2,同,45,𪒿,黑皃,duŋ
3,中,1,中,平也成也宜也堪也任也和也半也又姓漢少府郷中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四,ʈiuŋ
3,中,2,衷,善也正也適也中也又衷衣褻衣也,ʈiuŋ
3,中,3,忠,無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州,ʈiuŋ
3,中,4,𦬕,草名又音沖,ʈiuŋ
4,蟲,1,蟲,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲[進/達]直弓切七,ɖiuŋ
4,蟲,2,沖,和也深也,ɖiuŋ
4,蟲,3,种,稚也或作沖亦姓後漢司徒河南种暠,ɖiuŋ
4,蟲,4,盅,器虛也又敕中切,ɖiuŋ
4,蟲,5,爞,爾雅云爞爞炎炎熏也,ɖiuŋ
4,蟲,6,𦬕,草名又音中,ɖiuŋ
4,蟲,7,翀,直上飛也,ɖiuŋ
5,終,1,終,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五,tɕiuŋ
5,終,2,衆,又之仲切,tɕiuŋ
5,終,3,潨,小水入大水又徂紅在冬二切,tɕiuŋ
5,終,4,𣧩,殁也,tɕiuŋ
5,終,5,螽,螽斯蟲也,tɕiuŋ
5,終,6,𧑄,上同（螽‧螽斯蟲也）,tɕiuŋ
5,終,7,鼨,豹文䑕也,tɕiuŋ
5,終,8,蔠,蔠葵蘩露也,tɕiuŋ
5,終,9,柊,木名又齊人謂椎爲柊楑也,tɕiuŋ
5,終,10,𩅧,小雨,tɕiuŋ
5,終,11,䶱,字書云龜名也,tɕiuŋ
5,終,12,鴤,鳥名,tɕiuŋ
5,終,13,䈺,篋䈺戎人呼之,tɕiuŋ
5,終,14,泈,水名在襄陽,tɕiuŋ
5,終,15,䝦,獸如豹,tɕiuŋ
6,忡,1,忡,憂也敕中切三,ʈʰiuŋ
6,忡,2,浺,浺瀜水平逺之皃又音蟲,ʈʰiuŋ
6,忡,3,盅,器虚也又音蟲,ʈʰiuŋ
7,崇,1,崇,高也敬也就也聚也又姓鋤弓切四,dʒiuŋ
7,崇,2,崈,上同（崇‧高也敬也就也聚也又姓鋤弓切四）,dʒiuŋ
7,崇,3,㓽,鍤屬,dʒiuŋ
7,崇,4,𩞉,饞𩞉貪食也出古今字音,dʒiuŋ
8,嵩,1,嵩,山髙也又山名又姓史記有嵩極玄子或作崧息弓切九,siuŋ
8,嵩,2,崧,上同（嵩‧山髙也又山名又姓史記有嵩極玄子或作崧息弓切九）,siuŋ
8,嵩,3,𪀚,似鷹而小能捕雀也,siuŋ
8,嵩,4,娀,有娀氏女𥳑狄帝嚳次妃吞乙卵生契,siuŋ
8,嵩,5,菘,菜名,siuŋ
8,嵩,6,硹,地名在遼,siuŋ
8,嵩,7,㣝,姓也,siuŋ
8,嵩,8,𧊕,蟲名,siuŋ
8,嵩,9,𨱿,細毛,siuŋ
9,戎,1,戎,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,ȵiuŋ
9,戎,2,𢦦,上同（戎‧戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九）,ȵiuŋ
9,戎,3,茙,茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也,ȵiuŋ
9,戎,4,㭜,木名,ȵiuŋ
9,戎,5,駥,馬八尺也,ȵiuŋ
9,戎,6,𥬪,小竹可爲矢,ȵiuŋ
9,戎,7,𠈋,𠈋人身有三角也,ȵiuŋ
9,戎,8,狨,細布,ȵiuŋ
9,戎,9,絨,上同（狨‧細布）,ȵiuŋ
10,弓,1,弓,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也丗本曰黃帝臣揮作弓墨子曰羿作弓孫子曰[傜/倕]作弓又姓魯大夫叔弓之後居戎切六,kiuŋ
10,弓,2,躳,身也親也又姓出姓苑,kiuŋ
10,弓,3,躬,上同（躳‧身也親也又姓出姓苑）,kiuŋ
10,弓,4,㴦,縣名在酒泉,kiuŋ
10,弓,5,宮,白虎通曰黃帝作宫室以避寒暑宫之言中也丗本曰禹作宫亦官名漢書曰少府官有守宫令主御筆墨紙封書泥也又姓左傳虞有宫之奇,kiuŋ
10,弓,6,匑,謹敬之皃又音穹,kiuŋ
11,融,1,融,和也朗也說文曰炊气上出也又姓丗本云古天子祝融之後以戎切四,jiuŋ
11,融,2,肜,祭名又敕林切,jiuŋ
11,融,3,瀜,沖瀜大水皃,jiuŋ
12,雄,1,雄,雄雌也亦姓舜友有雄陶羽弓切二,ɦiuŋ
12,雄,2,熊,獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊冝僚又漢複姓左傳楚大夫熊率且比,ɦiuŋ
13,瞢,1,瞢,目不明莫中切六,miuŋ
13,瞢,2,夢,說文曰不明也又武仲切,miuŋ
13,瞢,3,𨞯,邑名在[魯/曹]郡,miuŋ
13,瞢,4,懜,慙也國語云君使臣懜,miuŋ
13,瞢,5,𦫰,𦫰𦫰醜皃,miuŋ
13,瞢,6,𧲎,獸似豕目在耳出崐崘,miuŋ
14,穹,1,穹,髙也去宫切七,kʰiuŋ
14,穹,2,𢞏,憂也,kʰiuŋ
14,穹,3,焪,乾也,kʰiuŋ
14,穹,4,芎,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀,kʰiuŋ
14,穹,5,𦵡,上同（芎‧芎藭香草根曰芎藭苗曰蘪蕪似蛇牀）,kʰiuŋ
14,穹,6,匑,謹敬之皃,kʰiuŋ
14,穹,7,𥳎,𥳎籠也又去龍切,kʰiuŋ
15,窮,1,窮,窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三,ɡiuŋ
15,窮,2,藭,芎藭,ɡiuŋ
15,窮,3,𥨪,羿所封國,ɡiuŋ
16,馮,1,馮,馮翊郡名又姓畢公髙之伸食采於馮城因而命氏出杜陵乃長樂房戎切七,biuŋ
16,馮,2,堸,蟲室,biuŋ
16,馮,3,汎,浮也又孚劔切,biuŋ
16,馮,4,芃,草盛也又音蓬,biuŋ
16,馮,5,𨝭,姬姓之國,biuŋ
16,馮,6,渢,𢎞大聲也,biuŋ
16,馮,7,梵,木得風皃又防泛切,biuŋ
17,風,1,風,敎也佚也告也聲也河圖曰風者天地之使元命包曰隂陽怒而爲風方戎切七,piuŋ
17,風,2,飌,古文（風‧敎也佚也告也聲也河圖曰風者天地之使元命包曰隂陽怒而爲風方戎切七）,piuŋ
17,風,3,楓,木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝髙三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄,piuŋ
17,風,4,猦,猦[母/𤝕]狀如猿逢人則叩頭小打便死得風還活出異物志,piuŋ
17,風,5,偑,地名,piuŋ
17,風,6,檒,檒梵聲也,piuŋ
17,風,7,𧆉,竹名出南海,piuŋ
18,豐,1,豐,大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷[空/隆]切八,pʰiuŋ
18,豐,2,酆,邑名亦姓左傳有狄相酆舒,pʰiuŋ
18,豐,3,蘴,蕪菁苗也,pʰiuŋ
18,豐,4,灃,水名在咸陽,pʰiuŋ
18,豐,5,寷,大屋,pʰiuŋ
18,豐,6,麷,煑麥,pʰiuŋ
18,豐,7,㒥,偓㒥仙人,pʰiuŋ
18,豐,8,㠦,山名,pʰiuŋ
19,充,1,充,美也塞也行也滿也昌終切七,tɕʰiuŋ
19,充,2,珫,珫耳玉名詩傳云充耳謂之瑱字俗從玉,tɕʰiuŋ
19,充,3,茺,茺蔚草也,tɕʰiuŋ
19,充,4,㤝,心動,tɕʰiuŋ
19,充,5,䘪,䘪襌衣也,tɕʰiuŋ
19,充,6,𪎽,黃色又音統,tɕʰiuŋ
19,充,7,㳘,水聲,tɕʰiuŋ
20,隆,1,隆,盛也豐也大也力中切六,liuŋ
20,隆,2,癃,病也亦作𤸇,liuŋ
20,隆,3,𪔳,鼓聲俗作𪔴,liuŋ
20,隆,4,窿,穹隆天勢俗加穴,liuŋ
20,隆,5,霳,豐隆雷師俗加雨,liuŋ
20,隆,6,㚅,多㚅礼天,liuŋ
21,空,1,空,空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四,kʰuŋ
21,空,2,箜,箜篌樂器釋名云師延所作靡靡之音出桑閒濮上續漢書云靈帝胡服作箜篌也,kʰuŋ
21,空,3,崆,崆峒,kʰuŋ
21,空,4,椌,器物朴也又丘江切,kʰuŋ
21,空,5,硿,硿青色[-/石]也,kʰuŋ
21,空,6,䅝,稻稈,kʰuŋ
21,空,7,悾,悾悾信也慤也,kʰuŋ
21,空,8,埪,土埪龕也,kʰuŋ
21,空,9,倥,倥侗,kʰuŋ
21,空,10,涳,涳濛小雨又口江切,kʰuŋ
21,空,11,鵼,怪鳥出字統,kʰuŋ
21,空,12,𦱇,𦱇心草也,kʰuŋ
21,空,13,𢃐,衣袂,kʰuŋ
21,空,14,𧌆,蟬脫𧌆皮,kʰuŋ
22,公,1,公,通也父也正也共也官也三公論道又公者無私也從八從厶厶音私八背意也背厶爲公也亦姓漢有主爵都尉公儉又漢複姓八十五氏左傳魯有公冉務人公斂陽公何[𦵧/藐]公父歜公賔庚公思展公鉏極公[申/甲]叔子費宰公山弗櫌公甲叔公巫召伯衞有公文要戰國䇿齊威王時有左執法公旗蕃左傳齊悼子公旗之後左傳季武子庶子公沮後以爲氏孟子有公行子著書左傳晉成公以卿之庶子爲公行大夫其後氏焉孔子家語魯有公冶長又公索氏將祭而亡其牲者魯有公愼氏出婬妻又有公罔之裘揚觶者孔子弟子齊人公晳哀陳人公良儒公西赤公祖句兹公肩定漢書藝文志有公檮子著書又有公勝生著書濟南公玉帶上明堂圖功臣表有公師壹晉穆公子成師之後又有公扈滿意後漢有零陵太守公仇稱晉穆公子仇之後又弘農令北海公沙穆山陽公堵恭魏志有公夏浩晉書有征虜長史太山公正羣成都王帳下督公帥蕃本姓公師避晉景帝諱改爲公帥氏前趙録有大中大夫公帥式子夏門人齊人公羊髙作春秋傳列女傳有公乗之姒墨子魯有公輸班衞大夫公叔文子史記有魯相公儀休孔子門人公休哀又有公祈哀禮記魯大夫公明儀何氏姓苑云今髙平人衞大夫公南文子魯有公荆皎衞大夫公子荆之後魯大夫公襄昭魯襄公太子野之後魯大夫公伯寮何氏姓苑云彭城人趙平陵太守公休勝魯士官公爲珍魯昭公子公爲之後楚大夫公朱髙宋公子子朱之後公車氏秦公子伯車之後淮南子有公牛哀病七日化爲虎齊公子牛之後吕氏春秋有邴大夫公息忘孟子稱公都子有學業楚公子田食采於都邑後氏焉公劉氏后稷公劉之後古今人表有公房皮楚公子房之後郭泰别傳有渤海公族進階衞大夫有公上王世本有魯大夫公之文晉蒲邑大夫公佗世郷秦公子金之後有公金氏齊公子成之後有公牽氏何氏姓苑云公右氏今琅邪人公左氏今髙平人又有公言公孟公獻公留公石公旅公仲等氏又左傳衞有𢈔公差以善射聞祭公謀父出自姜姓申公子福楚申公巫臣之後衞有尹公佗楚大夫逢公子仲楚白公勝之後有白公氏文字志云魏文侯時有古樂人竇公氏獻古文樂書一篇秦有博士黃公庇古今人表神農之後有公幹仕齊爲大夫其後氏焉丗本有大公叔頴又有公紀氏衞有大夫左公子洩右公子職漢四晧有園公先生尚書僕射東郡成公敞古紅切十三,kuŋ
22,公,2,功,功績也說文曰以勞定國曰功又漢複姓何氏姓苑云漢營陵令成功恢禹治水告成功後爲氏俗作功,kuŋ
22,公,3,工,官也又工巧也,kuŋ
22,公,4,疘,文字集略云脱疘下部病也,kuŋ
22,公,5,蚣,蜈蚣蟲,kuŋ
22,公,6,玒,王名又音江,kuŋ
22,公,7,釭,車釭說文曰車轂中鐵也又古雙切,kuŋ
22,公,8,魟,䱑魟江蟲形似蟹可食又音烘,kuŋ
22,公,9,攻,攻擊,kuŋ
22,公,10,㓚,銍穫也,kuŋ
22,公,11,愩,憒也,kuŋ
22,公,12,碽,擊聲,kuŋ
22,公,13,篢,篢笠方言,kuŋ
23,蒙,1,蒙,覆也奄也爾雅釋草曰蒙王女也莫紅切二十[六/七],muŋ
23,蒙,2,冡,說文覆也,muŋ
23,蒙,3,濛,涳濛細雨,muŋ
23,蒙,4,𩦺,驢子曰𩦺,muŋ
23,蒙,5,艨,艨艟戰船又武用切,muŋ
23,蒙,6,䑃,大皃,muŋ
23,蒙,7,矇,矇瞽,muŋ
23,蒙,8,饛,盛食滿皃,muŋ
23,蒙,9,䰒,馬垂鬣也,muŋ
23,蒙,10,檬,似槐[葉/華]黃,muŋ
23,蒙,11,𨢊,麴生衣皃,muŋ
23,蒙,12,䴿,上同（𨢊‧麴生衣皃）,muŋ
23,蒙,13,𨣘,亦上同（䴿‧上同（𨢊‧麴生衣皃））,muŋ
23,蒙,14,鸏,鸏䴀鳥也,muŋ
23,蒙,15,幪,覆也蓋衣也又幪縠,muŋ
23,蒙,16,罞,爾雅曰麋罟謂之罞,muŋ
23,蒙,17,𢄐,說文云蓋衣也又莫弄切,muŋ
23,蒙,18,髳,爾雅釋詁曰覭髳茀離也,muŋ
23,蒙,19,蠓,蠛蠓似蚊又莫孔切,muŋ
23,蒙,20,𦿏,草可爲帚,muŋ
23,蒙,21,雺,天氣下地不應曰雺又莫侯切,muŋ
23,蒙,22,霿,並上同（雺‧天氣下地不應曰雺又莫侯切）,muŋ
23,蒙,23,霚,並上同（霿‧並上同（雺‧天氣下地不應曰雺又莫侯切））,muŋ
23,蒙,24,朦,朦朧月下,muŋ
23,蒙,25,䀄,器滿,muŋ
23,蒙,26,懜,心悶闇也,muŋ
23,蒙,27,霥,小雨,muŋ
24,籠,1,籠,西京雜記曰漢制天子以象牙爲火籠盧紅切又力董切二十七,luŋ
24,籠,2,豅,大谷,luŋ
24,籠,3,㰍,說文云房室之䟽也亦作櫳,luŋ
24,籠,4,朧,朦朧,luŋ
24,籠,5,𡃡,大聲,luŋ
24,籠,6,龓,[-/馬]龓頭,luŋ
24,籠,7,䪊,上同（龓‧[-/馬]龓頭）,luŋ
24,籠,8,瀧,瀧涷沾漬說文曰雨瀧瀧也,luŋ
24,籠,9,聾,耳聾左傳云不聽五聲之和曰聾釋名曰聾籠也如在蒙籠之內不可察也,luŋ
24,籠,10,𨏠,軸頭,luŋ
24,籠,11,礱,磨也,luŋ
24,籠,12,䆍,禾病,luŋ
24,籠,13,𪚗,上同（䆍‧禾病）,luŋ
24,籠,14,嚨,喉嚨,luŋ
24,籠,15,蘢,蘢古草名又音龍,luŋ
24,籠,16,櫳,檻也養獸所也,luŋ
24,籠,17,𤮨,上同（櫳‧檻也養獸所也）,luŋ
24,籠,18,巃,巃嵸山皃嵸祖紅切又音竉揔,luŋ
24,籠,19,襱,襱裙,luŋ
24,籠,20,𧙥,上同（襱‧襱裙）,luŋ
24,籠,21,瓏,玲瓏玉聲,luŋ
24,籠,22,曨,日欲出也,luŋ
24,籠,23,鸗,鳥名,luŋ
24,籠,24,𩟭,𩟭餅,luŋ
24,籠,25,蠪,蠪蛭如狐九尾虎爪音如小兒食人一名䗁蠪又爾雅曰蠪朾螘郭璞云赤駁蚍蜉,luŋ
24,籠,26,㟅,崆㟅山皃,luŋ
24,籠,27,屸,山形,luŋ
25,洪,1,洪,大也亦姓共工氏之後本姓共氏後改爲洪氏户公切二十二,ɦuŋ
25,洪,2,鉷,弩牙,ɦuŋ
25,洪,3,訌,潰也詩曰蟊賊內訌,ɦuŋ
25,洪,4,紅,色也又姓,ɦuŋ
25,洪,5,虹,螮蝀也又古巷切,ɦuŋ
25,洪,6,仜,身肥大也,ɦuŋ
25,洪,7,鴻,詩傳云大曰鴻小曰鴈又姓左傳衞大夫鴻聊魋,ɦuŋ
25,洪,8,葒,水草一曰蘢古詩云隰有游龍傳曰龍即紅草也字或從廾,ɦuŋ
25,洪,9,葓,上同（葒‧水草一曰蘢古詩云隰有游龍傳曰龍即紅草也字或從廾）,ɦuŋ
25,洪,10,谼,大壑又谼谷寺在相州,ɦuŋ
25,洪,11,䉺,陳赤米也,ɦuŋ
25,洪,12,烘,字林云燎也又呼紅切,ɦuŋ
25,洪,13,洚,說文曰水不遵道一曰下也又戸冬下江二切,ɦuŋ
25,洪,14,渱,潰渱水沸湧也,ɦuŋ
25,洪,15,𨹁,從𨹁山名在雲南,ɦuŋ
25,洪,16,魟,魟白魚又音烘,ɦuŋ
25,洪,17,䧆,坑也,ɦuŋ
25,洪,18,䪦,大聲,ɦuŋ
25,洪,19,𦏺,飛聲,ɦuŋ
25,洪,20,䫹,大風,ɦuŋ
25,洪,21,䂫,石聲,ɦuŋ
25,洪,22,𨾊,鳥肥大𨾊唯然,ɦuŋ
26,叢,1,叢,聚也徂紅切五,dzuŋ
26,叢,2,藂,俗（叢‧聚也徂紅切五）,dzuŋ
26,叢,3,䕺,草䕺生皃,dzuŋ
26,叢,4,潨,水會也,dzuŋ
26,叢,5,𥵫,籠𥵫取魚器俗,dzuŋ
27,翁,1,翁,老稱也亦鳥頸毛又姓漢書貨殖傳有翁伯販脂而傾縣邑烏紅切八,ʔuŋ
27,翁,2,螉,蠮螉蟲名細𦝫𧒒也,ʔuŋ
27,翁,3,䱵,魚名,ʔuŋ
27,翁,4,蓊,蓊鬱草木盛皃又烏桶切,ʔuŋ
27,翁,5,䈵,竹盛皃,ʔuŋ
27,翁,6,䩺,吳人靴靿曰䩺,ʔuŋ
27,翁,7,㮬,水㮬子果名出南州,ʔuŋ
27,翁,8,𩔚,頸毛也,ʔuŋ
28,怱,1,怱,速也倉紅切十五,tsʰuŋ
28,怱,2,忩,俗（怱‧速也倉紅切十五）,tsʰuŋ
28,怱,3,葱,葷菜,tsʰuŋ
28,怱,4,楤,尖頭擔也,tsʰuŋ
28,怱,5,𨍉,轞車載囚,tsʰuŋ
28,怱,6,聦,聞也明也察也聽也殷仲堪父患耳聦聞牀下蟻動謂之牛鬬出晉書,tsʰuŋ
28,怱,7,繱,色青黃[文/又]細絹,tsʰuŋ
28,怱,8,𤧚,石似玉也,tsʰuŋ
28,怱,9,騘,馬青白雜色,tsʰuŋ
28,怱,10,䗓,蜻蜓淮南子曰蝦蟆爲鶉水蠆爲䗓,tsʰuŋ
28,怱,11,囪,竈突,tsʰuŋ
28,怱,12,𨣭,𨣭𨢊濁酒,tsʰuŋ
28,怱,13,鍯,大鑿平木器,tsʰuŋ
28,怱,14,㷓,煴也又子孔切,tsʰuŋ
28,怱,15,𢉛,屋[-/階]中會又子孔切,tsʰuŋ
29,通,1,通,達也三禮圖曰通天冠一名高山冠上之所服也亦州名本漢宕渠縣內有地萬餘頃因名爲萬州後魏以萬州居四達之路改爲通州又姓出姓苑他紅切九,tʰuŋ
29,通,2,蓪,蓪草藥名中有小孔通氣,tʰuŋ
29,通,3,侗,大也,tʰuŋ
29,通,4,恫,痛也,tʰuŋ
29,通,5,痌,上同（恫‧痛也）,tʰuŋ
29,通,6,曈,曈曨欲明之皃,tʰuŋ
29,通,7,俑,俑偶人又音勇,tʰuŋ
29,通,8,𧳆,獸名似豕出泰山又音同,tʰuŋ
29,通,9,𨀜,走皃,tʰuŋ
30,葼,1,葼,木細枝也子紅切二十一,tsuŋ
30,葼,2,鬷,釜屬又姓左傳鄭大夫鬷明,tsuŋ
30,葼,3,嵕,九嵕山名,tsuŋ
30,葼,4,猣,犬生三子,tsuŋ
30,葼,5,豵,豕生三子,tsuŋ
30,葼,6,鯼,石首魚名,tsuŋ
30,葼,7,椶,椶櫚一名蒲葵,tsuŋ
30,葼,8,騣,馬鬣,tsuŋ
30,葼,9,𩮀,上同（騣‧馬鬣）,tsuŋ
30,葼,10,䗥,螉䗥蟲名,tsuŋ
30,葼,11,嵸,巃嵸又作孔切,tsuŋ
30,葼,12,艐,書傳云三艐國名說文云船著沙不行也,tsuŋ
30,葼,13,蝬,三蝬蛤屬出臨海異物志,tsuŋ
30,葼,14,堫,種也,tsuŋ
30,葼,15,𥓻,石也,tsuŋ
30,葼,16,翪,聳翅上[-/下]皃,tsuŋ
30,葼,17,緵,縷也又作弄切,tsuŋ
30,葼,18,㚇,飛而斂足又子貢切,tsuŋ
30,葼,19,㣭,數也,tsuŋ
30,葼,20,稯,禾束,tsuŋ
30,葼,21,鬉,毛亂,tsuŋ
31,蓬,1,蓬,草名亦州名周割巴州之伏虞郡於此置蓬州因蓬山而名之薄紅切十,buŋ
31,蓬,2,𥭗,車軬,buŋ
31,蓬,3,篷,織竹夾箬覆舟也,buŋ
31,蓬,4,髼,髼䯳髪亂皃,buŋ
31,蓬,5,蜂,蟲名出蒼頡篇又音峯,buŋ
31,蓬,6,芃,芃芃草盛皃又音馮,buŋ
31,蓬,7,𧚋,爾雅曰困衱𧚋亦作袶又音降,buŋ
31,蓬,8,韸,鼓聲,buŋ
31,蓬,9,䮾,充塞皃又音[龍/瀧],buŋ
31,蓬,10,𩖛,風皃又步留切,buŋ
32,烘,1,烘,火皃呼東切又音紅六,huŋ
32,烘,2,叿,叿叿市人聲,huŋ
32,烘,3,魟,河魚似鼈,huŋ
32,烘,4,谾,谷空皃出字林,huŋ
32,烘,5,𩐠,𩐠䪦大聲,huŋ
32,烘,6,𩗄,大風,huŋ
33,㟅,1,㟅,崆㟅山皃五東切又魚江切一,ŋuŋ
34,檧,1,檧,小籠蘇公切又先孔切三,suŋ
34,檧,2,憽,惺憽了慧人也,suŋ
34,檧,3,㬝,[㬝/𤾥]㬝白皃出聲譜,suŋ
35,冬,1,冬,四時之末尸子曰冬爲信北方爲冬冬終也又姓前燕慕容皝左司馬冬壽都宗切七,tuoŋ
35,冬,2,𠔙,古文（冬‧四時之末尸子曰冬爲信北方爲冬冬終也又姓前燕慕容皝左司馬冬壽都宗切七）,tuoŋ
35,冬,3,苳,草名,tuoŋ
35,冬,4,䳉,䳉鳥好入水食似鳧形小,tuoŋ
35,冬,5,笗,竹名,tuoŋ
35,冬,6,𩂓,雨皃,tuoŋ
35,冬,7,𧲴,獸如豹有角,tuoŋ
36,彤,1,彤,赤也丹飾也亦姓彤伯爲成王宗[枝/伯]徒冬切二十二,duoŋ
36,彤,2,疼,痛也,duoŋ
36,彤,3,佟,姓也北燕録有遼東佟萬以文章知名,duoŋ
36,彤,4,炵,火[威/盛]皃又他冬切,duoŋ
36,彤,5,䳋,鳥名䳋渠狀如山雞黑身赤足出山海經也,duoŋ
36,彤,6,鼕,鼓聲,duoŋ
36,彤,7,𢥞,𢥞𢥞憂也出楚詞,duoŋ
36,彤,8,𢾮,擊空聲,duoŋ
36,彤,9,爞,旱熱,duoŋ
36,彤,10,㤏,惶也,duoŋ
36,彤,11,痋,動病,duoŋ
36,彤,12,䂈,剌矛,duoŋ
